date,open,high,low,close,volume,macd,signal,hist
2022-09-29,19412.82,19645.52,18843.01,19591.51,406424.93256,-399.47806891029177,-464.7609512023338,65.28288229204202
2022-09-30,19590.54,20185.0,19155.36,19422.61,444322.9534,-365.85613942998316,-444.9799888478637,79.12384941788054
2022-10-01,19422.61,19484.0,19159.42,19310.95,165625.13959,-344.252221581537,-424.83443539459836,80.58221381306134
2022-10-02,19312.24,19395.91,18920.35,19056.8,206812.47032,-343.6770469529074,-408.6029577062602,64.92591075335281
2022-10-03,19057.74,19719.1,18959.68,19629.08,293585.75212,-293.65789820451755,-385.6139458059117,91.95604760139418
2022-10-04,19629.08,20475.0,19490.6,20337.82,327012.00127,-194.5849138779522,-347.40813942031986,152.82322554236765
2022-10-05,20337.82,20365.6,19730.0,20158.26,312239.75224,-129.0700126092379,-303.74051405810343,174.67050144886554
2022-10-06,20158.26,20456.6,19853.0,19960.67,320122.1702,-92.03195591597978,-261.3988024296787,169.36684651369893
2022-10-07,19960.67,20068.82,19320.0,19530.09,220874.83913,-96.31300031965657,-228.38164200767432,132.06864168801775
2022-10-08,19530.09,19627.38,19237.14,19417.96,102480.09842,-107.51435419354311,-204.2081844448481,96.69383025130497
2022-10-09,19416.52,19558.0,19316.04,19439.02,113900.82681,-113.38510889024474,-186.04356933392742,72.65846044368269
2022-10-10,19439.96,19525.0,19020.25,19131.87,212509.09849,-141.19455933478093,-177.07376733409814,35.8792079993172
2022-10-11,19131.87,19268.09,18860.0,19060.0,243473.84286,-167.10675487583285,-175.08036484244508,7.97360996661223
2022-10-12,19060.0,19238.31,18965.88,19155.53,213826.26731,-177.8833553153927,-175.64096293703463,-2.242392378358062
2022-10-13,19155.1,19513.79,18190.0,19375.13,399756.68337,-166.7814513256999,-173.8690606147677,7.087609289067814
2022-10-14,19375.58,19951.87,19070.37,19176.93,351634.32601,-171.99356129017542,-173.49396074984926,1.5003994596738437
2022-10-15,19176.93,19227.68,18975.18,19069.39,113847.64232,-182.69577210234638,-175.3343230203487,-7.361449081997677
2022-10-16,19068.4,19425.84,19063.74,19262.98,131894.61885,-173.55561507937819,-174.9785814321546,1.4229663527764274
2022-10-17,19262.98,19676.96,19152.03,19549.86,222813.87634,-141.5316673824127,-168.28919862220624,26.757531239793536
2022-10-18,19548.48,19706.66,19091.0,19327.44,260313.07848,-132.57168935906157,-161.14569676957734,28.574007410515776
2022-10-19,19327.44,19360.16,19065.97,19123.97,186137.29538,-140.27220014579507,-156.9709974448209,16.69879729902584
2022-10-20,19123.35,19347.82,18900.0,19041.92,223530.13068,-151.25211942148962,-155.82722184015466,4.57510241866504
2022-10-21,19041.92,19250.0,18650.0,19164.37,269310.75769,-148.3628582338206,-154.33434911888784,5.971490885067254
2022-10-22,19164.37,19257.0,19112.72,19204.35,110403.90837,-141.21915948868264,-151.7113111928468,10.492151704164172
2022-10-23,19204.29,19695.0,19070.11,19570.4,167057.20184,-104.8123395659859,-142.33151686747462,37.519177301488725
2022-10-24,19570.4,19601.15,19157.0,19329.72,256168.14467,-94.29357934659492,-132.72392936329868,38.430350016703756
2022-10-25,19330.6,20415.87,19237.0,20080.07,326370.67061,-25.120834680728876,-111.20331042678472,86.08247574605585
2022-10-26,20079.02,21020.0,20050.41,20771.59,380492.69576,84.52460156381858,-72.05772802866406,156.58232959248264
2022-10-27,20771.61,20872.21,20200.0,20295.11,328643.57791,131.4561017375927,-31.354962075412708,162.8110638130054
2022-10-28,20295.11,20750.0,20000.09,20591.84,287039.94569,190.39848960322706,12.995728260315246,177.40276134291182
2022-10-29,20591.84,21085.0,20554.01,20809.67,254881.77755,251.78539189563526,60.75366098737925,191.031730908256
2022-10-30,20809.68,20931.21,20515.0,20627.48,192795.60886,282.4775188552667,105.09843256095674,177.37908629430996
2022-10-31,20627.48,20845.92,20237.95,20490.74,303567.61628,292.3969058594739,142.5581272206602,149.83877863881372
2022-11-01,20490.74,20700.0,20330.74,20483.62,279932.43771,296.2683696848835,173.30017571350487,122.96819397137864
2022-11-02,20482.81,20800.0,20048.04,20151.84,373716.27299,269.4585094947106,192.53184246974604,76.92666702496456
2022-11-03,20151.84,20393.32,20031.24,20207.82,319185.1544,249.848522058026,203.99517838740204,45.85334367062396
2022-11-04,20207.12,21302.05,20180.96,21148.52,453694.39165,306.6788906240654,224.53192083473473,82.14696978933065
2022-11-05,21148.52,21480.65,21080.65,21299.37,245621.98525,359.7428102627091,251.57409872032963,108.16871154237947
2022-11-06,21299.37,21365.27,20886.13,20905.58,230036.97217,365.8040258170586,274.42008413967545,91.38394167738312
2022-11-07,20905.58,21069.77,20384.89,20591.13,386977.60337,341.29980409107156,287.79602812995466,53.5037759611169
2022-11-08,20590.67,20700.88,17166.83,18547.23,760705.362783,155.16572947280656,261.26996839852507,-106.1042389257185
2022-11-09,18545.38,18587.76,15588.0,15922.81,731926.929729,-201.78952248706264,168.65807022140754,-370.4475927084702
2022-11-10,15922.68,18199.0,15754.26,17601.15,608448.36432,-345.271050119587,65.87224615320862,-411.1432962727956
2022-11-11,17602.45,17695.0,16361.6,17070.31,393552.86492,-496.09685040011755,-46.52157315745661,-449.57527724266095
2022-11-12,17069.98,17119.1,16631.39,16812.08,167819.96035,-629.2112312421268,-163.05950477439066,-466.1517264677361
2022-11-13,16813.16,16954.28,16229.0,16329.85,184960.78846,-764.8011167309705,-283.40782716570664,-481.3932895652639
2022-11-14,16331.78,17190.0,15815.21,16619.46,380210.7775,-839.2140342309976,-394.56906857876487,-444.64496565223277
2022-11-15,16617.72,17134.69,16527.72,16900.57,282461.84391,-865.5263310275259,-488.7605210685171,-376.7658099590088
2022-11-16,16900.57,17015.92,16378.61,16662.76,261493.40809,-895.2484287338921,-570.0581026015922,-325.1903261322999
2022-11-17,16661.61,16751.0,16410.74,16692.56,228038.97873,-905.9555032476128,-637.2375827307964,-268.71792051681643
2022-11-18,16692.56,17011.0,16546.04,16700.45,214224.18184,-903.3905558922925,-690.4681773630956,-212.92237852919686
2022-11-19,16699.43,16822.41,16553.53,16700.68,104963.15558,-891.0675851051637,-730.5880589115093,-160.47952619365446
2022-11-20,16700.68,16753.33,16180.0,16280.23,154842.13478,-904.7983904986686,-765.4301252289412,-139.36826526972743
2022-11-21,16279.5,16319.0,15476.0,15781.29,324096.997753,-945.0465327243655,-801.353406728026,-143.69312599633952
2022-11-22,15781.29,16315.0,15616.63,16226.94,239548.06623,-930.2597890809702,-827.134683198615,-103.12510588235523
